Name,geo_loc
Bangalore Banashankari,"(12.965283249999999, 77.59445195)"
Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Bangalore Mysore Road,"(12.9357828, 77.51399)"
Bangalore Jayanagar,"(12.9292731, 77.5824229)"
Bangalore Kumaraswamy Layout,"(12.9081487, 77.5553179)"
Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Bangalore Vijay Nagar,
Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
Bangalore JP Nagar,"(12.9072515, 77.5782713)"
Bangalore South Bangalore,"(12.862467899999999, 77.56089325971044)"
Bangalore City Market,"(12.965717999999999, 77.5762705372058)"
Bangalore Nagarbhavi,"(12.95961755, 77.51126721318181)"
Bangalore Bannerghatta Road,"(12.8545439, 77.5886892)"
Bangalore BTM,"(12.911275849999999, 77.60456543431182)"
Bangalore Kanakapura Road,"(12.8834107, 77.5486058)"
Bangalore Bommanahalli,"(12.9089453, 77.6239038)"
Bangalore nan,"(-30.2949382, 152.9200087)"
Bangalore Electronic City,"(12.848759900000001, 77.64825295827616)"
Bangalore HSR,"(12.9092342, 77.6398674)"
Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Bangalore Sarjapur Road,"(12.920441, 77.6653284)"
Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Bangalore Shanti Nagar,"(12.9575547, 77.5979099)"
Bangalore Koramangala 5th Block,"(12.9348429, 77.6189768)"
Bangalore Koramangala 8th Block,"(12.9408685, 77.617338)"
Bangalore Richmond Road,"(12.9649453, 77.5982978)"
Bangalore Koramangala 7th Block,"(12.9364846, 77.6134783)"
Bangalore Jalahalli,"(13.0464531, 77.5483803)"
Bangalore Koramangala 4th Block,"(12.9327778, 77.6294052)"
Bangalore Bellandur,"(12.93103185, 77.6782471)"
Bangalore Whitefield,"(12.9696365, 77.7497448)"
Bangalore East Bangalore,"(12.992303549999999, 77.70593990523807)"
Bangalore Old Airport Road,"(12.9594408, 77.6542883)"
Bangalore Indiranagar,"(12.9732913, 77.6404672)"
Bangalore Koramangala 1st Block,"(12.9275886, 77.6308832)"
Bangalore Frazer Town,"(12.996845, 77.6130165)"
Bangalore RT Nagar,"(13.0227204, 77.595715)"
Bangalore MG Road,"(12.9755264, 77.6067902)"
Bangalore Brigade Road,"(12.9699876, 77.6065344)"
Bangalore Lavelle Road,"(12.9749487, 77.5997248)"
Bangalore Church Street,"(12.9748941, 77.6052865)"
Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Bangalore Residency Road,"(13.0529476, 77.6206061)"
Bangalore Shivajinagar,"(12.986391, 77.6075416)"
Bangalore Infantry Road,"(12.9837879, 77.5940558)"
Bangalore St. Marks Road,"(12.9728286, 77.6013248)"
Bangalore Cunningham Road,"(12.9845781, 77.5970428)"
Bangalore Race Course Road,"(12.9844075, 77.5878462)"
Bangalore Commercial Street,"(12.9822323, 77.6082954)"
Bangalore Vasanth Nagar,"(12.988721250000001, 77.58516877601824)"
Bangalore HBR Layout,"(13.0358698, 77.6323597)"
Bangalore Domlur,"(12.9624669, 77.6381958)"
Bangalore Ejipura,"(12.945245, 77.6269144)"
Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Bangalore Old Madras Road,"(13.0263229, 77.7205146)"
Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
Bangalore Koramangala 6th Block,"(12.9390255, 77.6238477)"
Bangalore Majestic,"(12.9757079, 77.5728757)"
Bangalore Langford Town,"(12.957998, 77.6037312)"
Bangalore Central Bangalore,"(12.97339325, 77.61123426914668)"
Bangalore Brookefield,"(12.9668213, 77.7168891)"
"Bangalore ITPL Main Road, Whitefield",
"Bangalore Varthur Main Road, Whitefield",
Bangalore KR Puram,"(13.007516, 77.695935)"
Bangalore Koramangala 2nd Block,"(12.9243692, 77.6242433)"
Bangalore Koramangala 3rd Block,"(12.9282918, 77.6254034)"
Bangalore Koramangala,"(13.2923988, 77.7519261)"
Bangalore Hosur Road,"(12.8698264, 77.6532965)"
Bangalore Banaswadi,"(13.0141618, 77.6518539)"
Bangalore North Bangalore,"(13.07284355, 77.53217172328687)"
Bangalore Nagawara,"(13.0431413, 77.6209093)"
Bangalore Hennur,"(13.0258087, 77.6305067)"
Bangalore Kalyan Nagar,"(13.0221416, 77.6403368)"
Bangalore New BEL Road,"(13.0387114, 77.5645401)"
Bangalore Jakkur,"(13.0784743, 77.6068938)"
Bangalore Rammurthy Nagar,
Bangalore Thippasandra,"(12.973936, 77.6509982)"
Bangalore CV Raman Nagar,"(12.9855509, 77.668072)"
Bangalore Kaggadasapura,"(12.9846713, 77.6790908)"
Bangalore Rajajinagar,"(12.9882338, 77.554883)"
Bangalore Kengeri,"(12.9176571, 77.4837568)"
Bangalore Sankey Road,"(12.9912056, 77.5855419)"
Bangalore Sanjay Nagar,"(12.9578658, 77.6958748)"
Bangalore Sadashiv Nagar,
Bangalore Basaveshwara Nagar,"(12.9931607, 77.5394749)"
Bangalore Yeshwantpur,"(13.02383, 77.5529215)"
Bangalore West Bangalore,"(12.9848519, 77.5400626)"
Bangalore Magadi Road,"(12.975608, 77.5553564)"
Bangalore Yelahanka,"(13.1006982, 77.5963454)"
Bangalore Sahakara Nagar,"(13.0621474, 77.58006135480495)"
Bangalore Hebbal,"(13.0382184, 77.5919)"
Bangalore Peenya,"(13.0329419, 77.5273253)"
